date,away_team,home_team,p_home_win,p_away_win,is_fallback
2024-12-19,OKC,ORL,0.4516,0.5484,False
2024-12-19,CHA,WAS,0.5008,0.4992,False
2024-12-19,IND,PHX,0.5493,0.4507,False
2024-12-19,NYK,MIN,0.584,0.416,False
2024-12-19,NOP,HOU,0.5919,0.4081,False
2024-12-19,GSW,MEM,0.6558,0.3442,False
2024-12-19,ATL,SAS,0.6512,0.3488,False
2024-12-19,LAL,SAC,0.683,0.317,False
2024-12-19,LAC,DAL,0.6362,0.3638,False
2024-12-19,CHI,BOS,0.6035,0.3965,False
2024-12-19,BKN,TOR,0.5873,0.4127,False
2024-12-19,DEN,POR,0.4014,0.5986,False
2024-12-20,MIL,CLE,0.579,0.421,False
2024-12-20,OKC,MIA,0.5592,0.4408,False
2024-12-20,CHA,PHI,0.6229,0.3771,False
2024-12-21,DET,PHX,0.67,0.33,False
2024-12-21,LAL,SAC,0.5848,0.4152,False
2024-12-21,GSW,MIN,0.6628,0.3372,False
2024-12-21,WAS,MIL,0.6521,0.3479,False
2024-12-21,POR,SAS,0.5661,0.4339,False
2024-12-21,UTA,BKN,0.5709,0.4291,False
2024-12-21,MIA,ORL,0.5194,0.4806,False
2024-12-21,BOS,CHI,0.5052,0.4948,False
2024-12-21,NYK,NOP,0.5237,0.4763,False
2024-12-21,MEM,ATL,0.4888,0.5112,False
2024-12-21,LAC,DAL,0.5209,0.4791,False
2024-12-21,PHI,CLE,0.6647,0.3353,False
2024-12-22,DEN,NOP,0.4252,0.5748,False
2024-12-22,HOU,TOR,0.503,0.497,False
2024-12-22,IND,SAC,0.4676,0.5324,False
2024-12-23,MIL,CHI,0.6399,0.3601,False
2024-12-23,MIN,ATL,0.6006,0.3994,False
2024-12-23,LAC,MEM,0.5229,0.4771,False
2024-12-23,BOS,ORL,0.5181,0.4819,False
2024-12-23,HOU,CHA,0.4703,0.5297,False
2024-12-23,DET,LAL,0.6307,0.3693,False
2024-12-23,POR,DAL,0.5638,0.4362,False
2024-12-23,UTA,CLE,0.7541,0.2459,False
2024-12-23,TOR,NYK,0.6596,0.3404,False
2024-12-23,BKN,MIA,0.608,0.392,False
2024-12-23,IND,GSW,0.3663,0.6337,False
2024-12-23,WAS,OKC,0.6374,0.3626,False
2024-12-23,SAS,PHI,0.6538,0.3462,False
2024-12-23,PHX,DEN,0.5751,0.4249,False
